customer_id,product,category,quantity,unit_price,order_date,region,payment_method,total_cost,order_year,order_month,order_quarter,order_day_of_week,is_weekend,days_since_epoch,customer_transaction_number,is_quantity_outlier,is_price_outlier,is_extreme_outlier,price_tier,order_size_category,revenue_tier,customer_type,season,product_group
CUST_10288,Car Accessories,Automotive,1,636.71,10/8/2025,Middle East,Credit Card,636.71,2025,10,4,Wednesday,FALSE,1011,1,FALSE,FALSE,FALSE,Luxury,Single Item,High Value,New Customer,Fall,Technology & Auto
CUST_10295,Chocolate,Food & Beverages,4,33.22,5/24/2024,Europe,Digital Wallet,132.88,2024,5,2,Friday,FALSE,509,1,FALSE,FALSE,FALSE,Budget,Medium Order,Medium Value,New Customer,Spring,Lifestyle & Food
CUST_10296,Hat,Clothing,1,173.5,7/17/2024,Asia Pacific,Cash,173.5,2024,7,3,Wednesday,FALSE,563,1,FALSE,FALSE,FALSE,Mid-Range,Single Item,Medium Value,New Customer,Summer,Fashion & Beauty
CUST_10307,Vitamins,Health & Beauty,1,25,6/29/2025,Middle East,Credit Card,25,2025,6,2,Sunday,TRUE,910,1,FALSE,FALSE,FALSE,Budget,Single Item,Low Value,New Customer,Summer,Fashion & Beauty
CUST_1031,Backpack,Sports & Outdoors,1,263.81,3/6/2024,Middle East,Paypal,263.81,2024,3,1,Wednesday,FALSE,430,1,FALSE,FALSE,FALSE,Premium,Single Item,Medium Value,New Customer,Spring,Recreation & Sports
CUST_10310,Energy Drink,Food & Beverages,2,47.21,12/13/2024,Europe,Paypal,94.42,2024,12,4,Friday,FALSE,712,1,FALSE,FALSE,FALSE,Budget,Small Order,Low Value,New Customer,Winter,Lifestyle & Food
CUST_10326,Fiction Novel,Books,2,60.99,3/1/2024,Latin America,Bank Transfer,121.98,2024,3,1,Friday,FALSE,425,1,FALSE,FALSE,FALSE,Mid-Range,Small Order,Medium Value,New Customer,Spring,Lifestyle & Food
CUST_10329,Children Book,Books,6,70.17,5/24/2025,Africa,Debit Card,421.02,2025,5,2,Saturday,TRUE,874,1,TRUE,FALSE,TRUE,Mid-Range,Medium Order,Medium Value,New Customer,Spring,Lifestyle & Food
CUST_10333,Cookbook,Books,1,37.53,8/15/2025,North America,Cash,37.53,2025,8,3,Friday,FALSE,957,1,FALSE,FALSE,FALSE,Budget,Single Item,Low Value,New Customer,Summer,Lifestyle & Food
CUST_10337,Self-Help Book,Books,4,27.14,4/13/2024,Asia Pacific,Cash,108.56,2024,4,2,Saturday,TRUE,468,1,FALSE,FALSE,FALSE,Budget,Medium Order,Medium Value,New Customer,Spring,Lifestyle & Food
CUST_10344,Children Book,Books,1,14.02,10/29/2024,Latin America,Bank Transfer,14.02,2024,10,4,Tuesday,FALSE,667,1,FALSE,FALSE,FALSE,Budget,Single Item,Low Value,New Customer,Fall,Lifestyle & Food
CUST_10354,Table,Home & Garden,1,518.81,11/27/2023,Europe,Bank Transfer,518.81,2023,11,4,Monday,FALSE,330,1,FALSE,FALSE,FALSE,Luxury,Single Item,High Value,New Customer,Fall,Home & Office
CUST_10363,Dress,Clothing,2,193.08,4/20/2025,Latin America,Digital Wallet,386.16,2025,4,2,Sunday,TRUE,840,1,FALSE,FALSE,FALSE,Mid-Range,Small Order,Medium Value,New Customer,Spring,Fashion & Beauty
CUST_10364,Sweater,Clothing,3,288.85,5/15/2024,Europe,Cash,866.55,2024,5,2,Wednesday,FALSE,500,1,FALSE,FALSE,FALSE,Premium,Small Order,High Value,New Customer,Spring,Fashion & Beauty
CUST_10366,T-Shirt,Clothing,3,66.06,11/2/2023,Latin America,Digital Wallet,198.18,2023,11,4,Thursday,FALSE,305,1,FALSE,FALSE,FALSE,Mid-Range,Small Order,Medium Value,New Customer,Fall,Fashion & Beauty
CUST_10368,Toy Car,Toys & Games,6,97.04,5/27/2025,Middle East,Debit Card,582.24,2025,5,2,Tuesday,FALSE,877,1,TRUE,FALSE,TRUE,Mid-Range,Medium Order,High Value,New Customer,Spring,Recreation & Sports
CUST_10381,Car Accessories,Automotive,5,362.22,2/17/2024,Asia Pacific,Debit Card,1811.1,2024,2,1,Saturday,TRUE,412,1,FALSE,FALSE,FALSE,Premium,Medium Order,Very High Value,New Customer,Winter,Technology & Auto
CUST_10398,Action Figure,Toys & Games,1,134.83,1/27/2025,Europe,Bank Transfer,134.83,2025,1,1,Monday,FALSE,757,1,FALSE,FALSE,FALSE,Mid-Range,Single Item,Medium Value,New Customer,Winter,Recreation & Sports
CUST_10413,Gaming Console,Electronics,3,354.89,3/13/2024,Europe,Bank Transfer,1064.67,2024,3,1,Wednesday,FALSE,437,1,FALSE,FALSE,FALSE,Premium,Small Order,Very High Value,New Customer,Spring,Technology & Auto
CUST_10419,Plant Pot,Home & Garden,3,266.81,4/12/2025,Latin America,Digital Wallet,800.43,2025,4,2,Saturday,TRUE,832,1,FALSE,FALSE,FALSE,Premium,Small Order,High Value,New Customer,Spring,Home & Office
CUST_10433,Tea,Food & Beverages,1,20.55,1/23/2024,Asia Pacific,Bank Transfer,20.55,2024,1,1,Tuesday,FALSE,387,1,FALSE,FALSE,FALSE,Budget,Single Item,Low Value,New Customer,Winter,Lifestyle & Food
CUST_10434,Video Game,Toys & Games,3,139.54,3/22/2025,Europe,Digital Wallet,418.62,2025,3,1,Saturday,TRUE,811,1,FALSE,FALSE,FALSE,Mid-Range,Small Order,Medium Value,New Customer,Spring,Recreation & Sports
CUST_10452,Video Game,Toys & Games,2,165.55,6/26/2024,Africa,Digital Wallet,331.1,2024,6,2,Wednesday,FALSE,542,1,FALSE,FALSE,FALSE,Mid-Range,Small Order,Medium Value,New Customer,Summer,Recreation & Sports
CUST_10464,Laptop,Electronics,1,1014.89,11/28/2024,Africa,Paypal,1014.89,2024,11,4,Thursday,FALSE,697,1,FALSE,TRUE,TRUE,Luxury,Single Item,Very High Value,New Customer,Fall,Technology & Auto
CUST_10506,Spices,Food & Beverages,2,21.42,12/16/2023,Asia Pacific,Digital Wallet,42.84,2023,12,4,Saturday,TRUE,349,1,FALSE,FALSE,FALSE,Budget,Small Order,Low Value,New Customer,Winter,Lifestyle & Food
CUST_10509,Notebook,Office Supplies,2,5.93,3/4/2025,Asia Pacific,Debit Card,11.86,2025,3,1,Tuesday,FALSE,793,1,FALSE,FALSE,FALSE,Budget,Small Order,Low Value,New Customer,Spring,Home & Office
CUST_10511,Stapler,Office Supplies,2,64.61,5/13/2025,Africa,Cash,129.22,2025,5,2,Tuesday,FALSE,863,1,FALSE,FALSE,FALSE,Mid-Range,Small Order,Medium Value,New Customer,Spring,Home & Office
CUST_10514,Notebook,Office Supplies,1,70.99,5/4/2025,Asia Pacific,Cash,70.99,2025,5,2,Sunday,TRUE,854,1,FALSE,FALSE,FALSE,Mid-Range,Single Item,Low Value,New Customer,Spring,Home & Office
CUST_1053,Curtains,Home & Garden,3,339.71,8/18/2025,Asia Pacific,Paypal,1019.13,2025,8,3,Monday,FALSE,960,1,FALSE,FALSE,FALSE,Premium,Small Order,Very High Value,New Customer,Summer,Home & Office
CUST_10538,Video Game,Toys & Games,1,43.91,4/13/2024,Latin America,Paypal,43.91,2024,4,2,Saturday,TRUE,468,1,FALSE,FALSE,FALSE,Budget,Single Item,Low Value,New Customer,Spring,Recreation & Sports
CUST_10542,Puzzle,Toys & Games,1,88.5,10/30/2024,Europe,Credit Card,88.5,2024,10,4,Wednesday,FALSE,668,1,FALSE,FALSE,FALSE,Mid-Range,Single Item,Low Value,New Customer,Fall,Recreation & Sports
CUST_10545,Tennis Racket,Sports & Outdoors,3,313.41,10/10/2024,Latin America,Bank Transfer,940.23,2024,10,4,Thursday,FALSE,648,1,FALSE,FALSE,FALSE,Premium,Small Order,High Value,New Customer,Fall,Recreation & Sports
CUST_1055,Car Charger,Automotive,1,425.4,7/11/2025,Asia Pacific,Debit Card,425.4,2025,7,3,Friday,FALSE,922,1,FALSE,FALSE,FALSE,Premium,Single Item,Medium Value,New Customer,Summer,Technology & Auto
CUST_10567,Children Book,Books,6,28.02,11/5/2023,Asia Pacific,Cash,168.12,2023,11,4,Sunday,TRUE,308,1,TRUE,FALSE,TRUE,Budget,Medium Order,Medium Value,New Customer,Fall,Lifestyle & Food
CUST_10593,Hat,Clothing,6,58.29,9/29/2025,Europe,Debit Card,349.74,2025,9,3,Monday,FALSE,1002,1,TRUE,FALSE,TRUE,Mid-Range,Medium Order,Medium Value,New Customer,Fall,Fashion & Beauty
CUST_1060,Jeans,Clothing,2,186.83,12/3/2023,Latin America,Credit Card,373.66,2023,12,4,Sunday,TRUE,336,1,FALSE,FALSE,FALSE,Mid-Range,Small Order,Medium Value,New Customer,Winter,Fashion & Beauty
CUST_10606,Table,Home & Garden,3,141,8/11/2025,Europe,Cash,423,2025,8,3,Monday,FALSE,953,1,FALSE,FALSE,FALSE,Mid-Range,Small Order,Medium Value,New Customer,Summer,Home & Office
CUST_10617,Fiction Novel,Books,1,52.35,8/24/2024,Middle East,Paypal,52.35,2024,8,3,Saturday,TRUE,601,1,FALSE,FALSE,FALSE,Mid-Range,Single Item,Low Value,New Customer,Summer,Lifestyle & Food
CUST_10626,Motor Oil,Automotive,1,174.85,9/8/2025,Asia Pacific,Paypal,174.85,2025,9,3,Monday,FALSE,981,1,FALSE,FALSE,FALSE,Mid-Range,Single Item,Medium Value,New Customer,Fall,Technology & Auto
CUST_10631,Dress,Clothing,3,145.73,4/26/2025,Europe,Bank Transfer,437.19,2025,4,2,Saturday,TRUE,846,1,FALSE,FALSE,FALSE,Mid-Range,Small Order,Medium Value,New Customer,Spring,Fashion & Beauty
CUST_10633,Calculator,Office Supplies,2,52.07,4/23/2025,Europe,Bank Transfer,104.14,2025,4,2,Wednesday,FALSE,843,1,FALSE,FALSE,FALSE,Mid-Range,Small Order,Medium Value,New Customer,Spring,Home & Office
CUST_10647,Printer Paper,Office Supplies,1,5.8,11/25/2023,Middle East,Digital Wallet,5.8,2023,11,4,Saturday,TRUE,328,1,FALSE,FALSE,FALSE,Budget,Single Item,Low Value,New Customer,Fall,Home & Office
CUST_10656,Cookbook,Books,1,12.91,6/21/2025,North America,Cash,12.91,2025,6,2,Saturday,TRUE,902,1,FALSE,FALSE,FALSE,Budget,Single Item,Low Value,New Customer,Summer,Lifestyle & Food
CUST_10667,Backpack,Unknown,6,306.9,2/11/2025,Latin America,Digital Wallet,1841.4,2025,2,1,Tuesday,FALSE,772,1,TRUE,FALSE,TRUE,Premium,Medium Order,Very High Value,New Customer,Winter,Other
CUST_10680,Notebook,Office Supplies,1,11.65,12/31/2024,Europe,Credit Card,11.65,2024,12,4,Tuesday,FALSE,730,1,FALSE,FALSE,FALSE,Budget,Single Item,Low Value,New Customer,Winter,Home & Office
CUST_1071,Children Book,Books,2,78.05,4/17/2024,North America,Bank Transfer,156.1,2024,4,2,Wednesday,FALSE,472,1,FALSE,FALSE,FALSE,Mid-Range,Small Order,Medium Value,New Customer,Spring,Lifestyle & Food
CUST_10712,Vitamins,Health & Beauty,2,50.22,6/9/2025,Africa,Cash,100.44,2025,6,2,Monday,FALSE,890,1,FALSE,FALSE,FALSE,Mid-Range,Small Order,Medium Value,New Customer,Summer,Fashion & Beauty
CUST_10724,Notebook,Office Supplies,2,37.14,4/11/2025,Asia Pacific,Bank Transfer,74.28,2025,4,2,Friday,FALSE,831,1,FALSE,FALSE,FALSE,Budget,Small Order,Low Value,New Customer,Spring,Home & Office
CUST_10734,Tablet,Electronics,3,1014.89,2/21/2025,North America,Bank Transfer,3044.67,2025,2,1,Friday,FALSE,782,1,FALSE,TRUE,TRUE,Luxury,Small Order,Very High Value,New Customer,Winter,Technology & Auto
CUST_10742,Coffee,Food & Beverages,6,42.76,3/8/2025,Unknown,Credit Card,256.56,2025,3,1,Saturday,TRUE,797,1,TRUE,FALSE,TRUE,Budget,Medium Order,Medium Value,New Customer,Spring,Lifestyle & Food
CUST_10743,Jacket,Clothing,4,77.2,7/6/2024,Africa,Cash,308.8,2024,7,3,Saturday,TRUE,552,1,FALSE,FALSE,FALSE,Mid-Range,Medium Order,Medium Value,New Customer,Summer,Fashion & Beauty
CUST_10748,Calculator,Office Supplies,3,26.04,6/27/2024,Middle East,Credit Card,78.12,2024,6,2,Thursday,FALSE,543,1,FALSE,FALSE,FALSE,Budget,Small Order,Low Value,New Customer,Summer,Home & Office
CUST_10749,Magazine,Books,2,17.61,8/21/2024,Europe,Debit Card,35.22,2024,8,3,Wednesday,FALSE,598,1,FALSE,FALSE,FALSE,Budget,Small Order,Low Value,New Customer,Summer,Lifestyle & Food
CUST_10760,Motor Oil,Automotive,2,983.95,7/9/2025,Europe,Debit Card,1967.9,2025,7,3,Wednesday,FALSE,920,1,FALSE,TRUE,FALSE,Luxury,Small Order,Very High Value,New Customer,Summer,Technology & Auto
CUST_10768,Smartphone,Electronics,4,1014.89,6/6/2024,Latin America,Cash,4059.56,2024,6,2,Thursday,FALSE,522,1,FALSE,TRUE,TRUE,Luxury,Medium Order,Very High Value,New Customer,Summer,Technology & Auto
CUST_10769,Desk Organizer,Office Supplies,4,45.44,4/27/2024,Asia Pacific,Credit Card,181.76,2024,4,2,Saturday,TRUE,482,1,FALSE,FALSE,FALSE,Budget,Medium Order,Medium Value,New Customer,Spring,Home & Office
CUST_10769,Makeup Kit,Health & Beauty,2,130.93,8/16/2024,Africa,Cash,261.86,2024,8,3,Friday,FALSE,593,2,FALSE,FALSE,FALSE,Mid-Range,Small Order,Medium Value,Regular Customer,Summer,Fashion & Beauty
CUST_10777,Building Blocks,Toys & Games,6,164.16,1/7/2024,North America,Paypal,984.96,2024,1,1,Sunday,TRUE,371,1,TRUE,FALSE,TRUE,Mid-Range,Medium Order,High Value,New Customer,Winter,Recreation & Sports
CUST_1078,Bedding,Home & Garden,6,626.72,5/5/2024,Latin America,Credit Card,3760.32,2024,5,2,Sunday,TRUE,490,1,TRUE,FALSE,TRUE,Luxury,Medium Order,Very High Value,New Customer,Spring,Home & Office
CUST_10791,Gaming Console,Electronics,2,1014.89,1/31/2024,Asia Pacific,Debit Card,2029.78,2024,1,1,Wednesday,FALSE,395,1,FALSE,TRUE,TRUE,Luxury,Small Order,Very High Value,New Customer,Winter,Technology & Auto
CUST_10808,Bicycle,Sports & Outdoors,1,251.39,10/27/2023,Asia Pacific,Bank Transfer,251.39,2023,10,4,Friday,FALSE,299,1,FALSE,FALSE,FALSE,Premium,Single Item,Medium Value,New Customer,Fall,Recreation & Sports
CUST_10816,Perfume,Health & Beauty,2,65.52,8/5/2025,Africa,Digital Wallet,131.04,2025,8,3,Tuesday,FALSE,947,1,FALSE,FALSE,FALSE,Mid-Range,Small Order,Medium Value,New Customer,Summer,Fashion & Beauty
CUST_10828,Shoes,Clothing,2,276.47,11/23/2023,North America,Credit Card,552.94,2023,11,4,Thursday,FALSE,326,1,FALSE,FALSE,FALSE,Premium,Small Order,High Value,New Customer,Fall,Fashion & Beauty
CUST_10835,T-Shirt,Clothing,2,284.94,6/19/2024,Asia Pacific,Paypal,569.88,2024,6,2,Wednesday,FALSE,535,1,FALSE,FALSE,FALSE,Premium,Small Order,High Value,New Customer,Summer,Fashion & Beauty
CUST_10837,Car Charger,Automotive,4,332.53,11/23/2024,North America,Debit Card,1330.12,2024,11,4,Saturday,TRUE,692,1,FALSE,FALSE,FALSE,Premium,Medium Order,Very High Value,New Customer,Fall,Technology & Auto
CUST_10839,Shoes,Clothing,1,69.94,9/29/2024,Europe,Paypal,69.94,2024,9,3,Sunday,TRUE,637,1,FALSE,FALSE,FALSE,Mid-Range,Single Item,Low Value,New Customer,Fall,Fashion & Beauty
CUST_1085,Snacks,Food & Beverages,1,35.67,10/2/2025,Latin America,Digital Wallet,35.67,2025,10,4,Thursday,FALSE,1005,1,FALSE,FALSE,FALSE,Budget,Single Item,Low Value,New Customer,Fall,Lifestyle & Food
CUST_10851,Table,Home & Garden,1,218.06,9/7/2024,Latin America,Credit Card,218.06,2024,9,3,Saturday,TRUE,615,1,FALSE,FALSE,FALSE,Premium,Single Item,Medium Value,New Customer,Fall,Home & Office
CUST_10853,Tea,Food & Beverages,1,46.18,2/7/2024,North America,Debit Card,46.18,2024,2,1,Wednesday,FALSE,402,1,FALSE,FALSE,FALSE,Budget,Single Item,Low Value,New Customer,Winter,Lifestyle & Food
CUST_10864,Car Charger,Automotive,4,297.34,7/19/2025,Latin America,Cash,1189.36,2025,7,3,Saturday,TRUE,930,1,FALSE,FALSE,FALSE,Premium,Medium Order,Very High Value,New Customer,Summer,Technology & Auto
CUST_10869,Face Mask,Health & Beauty,3,91.92,4/16/2025,Africa,Credit Card,275.76,2025,4,2,Wednesday,FALSE,836,1,FALSE,FALSE,FALSE,Mid-Range,Small Order,Medium Value,New Customer,Spring,Fashion & Beauty
CUST_10879,Perfume,Health & Beauty,5,46.44,3/11/2024,North America,Credit Card,232.2,2024,3,1,Monday,FALSE,435,1,FALSE,FALSE,FALSE,Budget,Medium Order,Medium Value,New Customer,Spring,Fashion & Beauty
CUST_10880,Motor Oil,Automotive,5,878.25,9/16/2024,Latin America,Cash,4391.25,2024,9,3,Monday,FALSE,624,1,FALSE,TRUE,FALSE,Luxury,Medium Order,Very High Value,New Customer,Fall,Technology & Auto
CUST_10884,Pen Set,Office Supplies,2,78.55,11/18/2023,North America,Digital Wallet,157.1,2023,11,4,Saturday,TRUE,321,1,FALSE,FALSE,FALSE,Mid-Range,Small Order,Medium Value,New Customer,Fall,Home & Office
CUST_1089,Running Shoes,Sports & Outdoors,2,272.7,7/4/2024,Asia Pacific,Cash,545.4,2024,7,3,Thursday,FALSE,550,1,FALSE,FALSE,FALSE,Premium,Small Order,High Value,New Customer,Summer,Recreation & Sports
CUST_10898,Tea,Food & Beverages,1,22.87,7/4/2025,Asia Pacific,Bank Transfer,22.87,2025,7,3,Friday,FALSE,915,1,FALSE,FALSE,FALSE,Budget,Single Item,Low Value,New Customer,Summer,Lifestyle & Food
CUST_10903,Gym Equipment,Sports & Outdoors,1,405.09,12/2/2024,Asia Pacific,Digital Wallet,405.09,2024,12,4,Monday,FALSE,701,1,FALSE,FALSE,FALSE,Premium,Single Item,Medium Value,New Customer,Winter,Recreation & Sports
CUST_10914,Vitamins,Health & Beauty,3,10.99,5/10/2025,Middle East,Bank Transfer,32.97,2025,5,2,Saturday,TRUE,860,1,FALSE,FALSE,FALSE,Budget,Small Order,Low Value,New Customer,Spring,Fashion & Beauty
CUST_10961,Sofa,Home & Garden,4,359.38,1/6/2025,Asia Pacific,Unknown,1437.52,2025,1,1,Monday,FALSE,736,1,FALSE,FALSE,FALSE,Premium,Medium Order,Very High Value,New Customer,Winter,Home & Office
CUST_10964,Chair,Home & Garden,1,287.41,3/20/2025,Europe,Digital Wallet,287.41,2025,3,1,Thursday,FALSE,809,1,FALSE,FALSE,FALSE,Premium,Single Item,Medium Value,New Customer,Spring,Home & Office
CUST_10979,Shampoo,Health & Beauty,2,132.53,2/22/2025,Africa,Debit Card,265.06,2025,2,1,Saturday,TRUE,783,1,FALSE,FALSE,FALSE,Mid-Range,Small Order,Medium Value,New Customer,Winter,Fashion & Beauty
CUST_10989,Gaming Console,Electronics,1,856.4,5/3/2024,Middle East,Credit Card,856.4,2024,5,2,Friday,FALSE,488,1,FALSE,TRUE,FALSE,Luxury,Single Item,High Value,New Customer,Spring,Technology & Auto
CUST_10990,Cookbook,Books,1,61.81,1/14/2024,North America,Digital Wallet,61.81,2024,1,1,Sunday,TRUE,378,1,FALSE,FALSE,FALSE,Mid-Range,Single Item,Low Value,New Customer,Winter,Lifestyle & Food
CUST_11001,Tennis Racket,Sports & Outdoors,1,295.23,9/2/2024,Europe,Credit Card,295.23,2024,9,3,Monday,FALSE,610,1,FALSE,FALSE,FALSE,Premium,Single Item,Medium Value,New Customer,Fall,Recreation & Sports
CUST_11009,Calculator,Office Supplies,3,86.79,11/10/2024,North America,Cash,260.37,2024,11,4,Sunday,TRUE,679,1,FALSE,FALSE,FALSE,Mid-Range,Small Order,Medium Value,New Customer,Fall,Home & Office
CUST_1101,Makeup Kit,Health & Beauty,4,9.31,12/7/2023,Latin America,Bank Transfer,37.24,2023,12,4,Thursday,FALSE,340,1,FALSE,FALSE,FALSE,Budget,Medium Order,Low Value,New Customer,Winter,Fashion & Beauty
CUST_11021,Organic Food,Food & Beverages,3,25.91,10/16/2024,Europe,Debit Card,77.73,2024,10,4,Wednesday,FALSE,654,1,FALSE,FALSE,FALSE,Budget,Small Order,Low Value,New Customer,Fall,Lifestyle & Food
CUST_11026,Jeans,Clothing,1,52.07,4/15/2025,Europe,Cash,52.07,2025,4,2,Tuesday,FALSE,835,1,FALSE,FALSE,FALSE,Mid-Range,Single Item,Low Value,New Customer,Spring,Fashion & Beauty
